"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8790", "33.9570", "20.9650", "46.9570",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8240", "33.7210", "20.9560", "47.1470",  "F:ST - R:ST",     "0 ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:39.7790", "33.1440", "20.3260", "46.3090",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.4630", "34.5670", "21.0100", "46.8860",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.4810", "33.8370", "20.8660", "46.7780",  "F:ST - R:ST",     "0 ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.8260", "33.8400", "21.0060", "46.9800",  "F:ST - R:ST",     "0 ",  
Average,,,"01:43.3358", "35.2324", "20.9659", "47.1375"
Best possible,,, "01:39.0970", "33.1440", "20.1380", "45.8150"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jens Beetsma"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:53.7920", "41.9360", "20.9710", "50.8850",  "F:ST - R:ST",     "0 ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.5810", "34.3780", "20.9470", "51.2560",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.0120", "34.0920", "21.5720", "48.3480",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.3970", "34.2920", "20.3180", "45.7870",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:41.6080", "33.6310", "21.2400", "46.7370",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
